text,cue_pos,experiencer_pos
A Rosé by Any Other Name: Welcome to Duty Free,Welcome,
Rhino release: Epic journey to freedom in Rwanda,Epic,Rhino release
"Young Australians Talk Climate Change, Immigration, Indigenous Affairs and More",,
I’m Still Mad About the Dark ‘Game of Thrones’ Lighting,Mad,I’m
Daughter-in-law of opera singer Plácido Domingo reveals Scientology celeb secrets,reveals,Plácido Domingo
UN says war has set back Yemen's development by 20 years,back,
Solitary Confinement Can Lead to a Life Sentence in Prison,Solitary,
"John Cornyn points out that government can only do so much, but law-hungry leftists, of course, know better",only do so much,John Cornyn
Ilene Chaiken: We’re Proclaiming Ourselves on ‘The L Word.’ That’s a Huge Part of Our Struggle and Celebration,Proclaiming,Ilene Chaiken
China Drank The Most Beer In The World In 2018,Drank,China
City in New Mexico authorizes spending on asylum seekers,authorizes,
Trump Steps up War on Whistleblowers: Air Force Vet Daniel Hale Arrested For Leaking Drone War Info,War,
‘We don’t fear you’: Nikita Parris and England are ready for World Cup holders USA,fear,
The North Pole Continues to Shrink,Shrink,
Senate Sends $2.7 Trillion Budget Deal to Trump,Sends,Senate
Trump’s latest threat risks prolonging trade war,threat,Trump’s
The Latest: Iraq to try help end crisis between US and Iran,help,Iraq
Nicolas Maduro orders plan to ration electricity in Venezuela,ration,Nicolas Maduro
"RussiaGate: Rudy Giuliani Predicts 'Criminal' Evidence Against FBI, DOJ Officials 'In Six Months'",Predicts,Rudy Giuliani
"Joe Biden Courts Blue Collar Voters, Says 'I Am a Union Man': Reason Roundup",Voters,Joe Biden
Secret Emails Allegedly Show Facebook Knew About Cambridge Analytica Scandal Earlier Than Admitted,Scandal,
Trump claims that polls showing him losing are fake,fake,Trump
"Witnesses describe Gilroy Garlic Festival shooting horror: 'Active shooter, active shooter'",horror,Witnesses
Niagara Distillery Opens In Niagara Falls,Opens,Niagara Distillery
Video Game Reviewer Turns in Sexist Troll—to His Mom,Reviewer,
Virginia Beach gunman DeWayne Craddock quit job hours before massacre,massacre,
"Video shows runaway tire on highway bouncing over barrier, crashing into Jeep",crashing,
One-quarter of Americans say men should work while women stay at home caring for family,women stay at home caring for family,Americans
Playboy’s Brian Karem thinks Seb Gorka should have been the one banned from the WH (Gorka tells Karem how to get his pass back),banned,Brian Karem
Tanden’s CAP Takes Facebook Money Despite Personal Criticism,Criticism,Tanden’s CAP
Ohio man raped now-pregnant 11-year-old girl: authorities,raped,Ohio man
The incredible scene inside gutted flat after 'gas explosion' which left 16 people injured,gas explosion,
Andrew Gillum Reiterates Call for Impeachment After Mueller Report,Reiterates,Andrew Gillum
Trump taunts Democrats with his immigration plan,taunts,Trump
Little Kid Who Mistakenly Got a ‘Happy Birthday Loser’ Cake Has a Universally Relatable Reaction,Loser,
Electric carmakers gear up for market charge,market charge,Electric carmakers
Poles Protest US Push For Holocaust Reparations,Protest,Poles
The Trudeau Scandal Happens All the Time in America,,
Verizon seeking vandal who has been damaging its equipment,vandal,Verizon
Watch Ben Rhodes Squirm When Asked If Obama’s WH Was Involved In FBI Investigation Of Trump,Squirm,Ben Rhodes
Nigel Farage Makes Trumpian Trouble with His New Brexit Party,Trouble,Nigel Farage
Warren’s Manufacturing Plan Echoes Trump’s ‘America First’,,Warren
Bill Cosby settles defamation lawsuits with seven female accusers,defamation,Bill Cosby
The Military Budget Is a Disgrace,Disgrace,
Boris Johnson's Busy Agenda Raises UK Election Speculation,Speculation,Boris Johnson's
"Midday open thread: Measles, air bags, and free parking for all!",Measles,
Confirmed: Study Finds 92% of Left-Wing Loser Activists Live at Home with Mommy and Daddy,Loser,
Nationwide Demonstrations Announced to Protest Immigrant Detention Centers,Protest,
"Health Apps Can Share Your Data Everywhere, New Study Shows",Share,Health Apps
"Rod Rosenstein reveals damaging info about Obama admin's handling of Russia probe — then targets media, Comey",damaging,Rod Rosenstein
"CBS Highlights Mysterious, 'More Moderate’ 2020 Dems",Highlights Mysterious,
‘No kidding’! John Dean helpfully points out why ‘facts’ are NOT a priority at House Judiciary Dems’ hearing,helpfully points out,John Dean
Hundreds Of Farmers Stay Silent During Auction So Family Can Buy Back Their Family Farm,Auction,Farmers
Peterloo Is a Hard Movie to Like,Hard,Peterloo
‘You stick with your anti-Semitism’: AOC says she ‘will never apologize’ for trivializing the Holocaust,apologize,AOC
Giuliani's Sunday talking point: 'There's nothing wrong with taking information from Russians',nothing wrong,Giuliani's
TIME cover picturing the Buttigieg ‘first family’ is a display of ‘heterosexuality without women’,,TIME cover
"ISIS Lost Its Home, But Economic Empire Stands",Lost,ISIS
"Senate passes $4.5 billion border bill, setting up fight with House",setting up fight,
"NY Times Deflects MLK ‘Rape’ Bombshell by Personally Attacking the Historian, FBI",Deflects,NY Times
Baroness Trumpington leaves staff £500 in her will to throw a 'jolly good party',jolly good party,Baroness Trumpington
National Press Awards: Guardian and Observer win for Windrush and Cambridge Analytica,win,Guardian and Observer
"Police Officer Checks On Elderly Woman, Then Mows Her Lawn",Checks,Police Officer
William Barr just threw Donald Trump under the bus,under,William Barr
Climate change worsens plight of endangered right whales,worsens,
The Challenge of Going Off Psychiatric Drugs,Going,The Challenge
Kids Recreating the Game of Thrones Opening Credits With Arts and Crafts Confirms the Young People Will Save Us,Kids Recreating the Game of Thrones,Kids Recreating
Live coverage: Robert Mueller testifies before the House Intelligence Committee #2,testifies,Robert Mueller
Stacey Abrams advisor: It’s “exploitative” of Biden to talk her up as VP when he didn’t back her in the Georgia primary,exploitative,Stacey Abrams advisor
Full Coverage: The Manson murders — 50 years later,Full Coverage,
The Trump Administration Is Making Hezbollah Stronger,Making,Trump
‘She’s Republican-ing extra hard’! Ana Navarro intervenes to distract from ‘Pelosi vs. Squad’ melee,intervenes,Ana Navarro
"6 People Shot, 1 Fatally, At Graduation Party In Philadelphia",Fatally,Graduation Party In Philadelphia
Five reasons why 2020’s down-ballot races could reshape America’s future,reshape,
Greek police arrest suspect in Greek-Australian's murder,arrest,Greek police
Trump administration says it could take 2 years to reunite separated migrant families,says,Trump administration
Friday Night Fights With Ukraine’s Far Right,Fights,
"2 years after tax bill’s passage, corporate revenue has plummeted",plummeted,
"NHL roundup: Caps sweep Flyers, keep division lead",sweep,Caps
Virginia's NCAA-winning basketball team declines White House invitation,declines,Virginia's NCAA
"Trump is so abhorrent, even a stellar economy can't save him",abhorrent,Trump
Trump Acknowledged Someone Hid USS McCain To Please Him. Now He's Backtracking,Hid,Trump
Stacey Abrams 'Thinking About' Running for President in 2020,Running,Stacey Abrams
"EIA forecasts 2019 WTI oil average of $58.80/bbl, up 4.8% from previous view",up,
Latino votes could swing the Democratic primary. And the candidates know it.,could swing,Latino
"Maty Ezraty, L.A. yoga instructor whose teachings spanned the globe, dies",dies,
The founder of India's biggest coffee chain has gone missing,missing,
Radical Islamists Have Opened a New Front in Mali,New Front,
'April fools': what the papers said about the failure of indicative votes round 2,failure,the
Colorado Caps Insulin Co-Pays At $100 For Insured Residents,Caps Insulin,
Full Mueller report may have 'proof of bad deeds' and must be seen – Democrat,bad,
"New Rule: Polluters Can Appeal Judgments, But No One Else Can",,
Trump inching toward an intel apparatus that believes his false ‘wire tapping’ claim after DNI pick accuses Obama administration of committing crimes,accuses,Trump
‘A practitioner of the dark arts’: A psychologist explains how Trump uses his ‘serious sadistic impulses’ to manipulate his rivals,‘serious sadistic impulses’,Trump
Tech Is No Match for Human Grossness,Grossness,Human
"In 1 Chart, How Your Taxes Are Spent",Spent,
Explosions heard in Syrian capital apparent Israeli strikes,Explosions,
Southampton v Liverpool: Premier League – live!,Live,Southampton
Rainfall totals of 5-7 inches inundate Baton Rouge area and trigger flash floods that kill 1,kill,
Local Fox anchor caught on video dropping f-bomb as she apparently blasts station execs for asking her to hide her presence on conservative social media site,caught,Fox
A Reckoning Is in Store for Democrats,Reckoning,
"16-Year-Olds Want a Vote. Fifty Years Ago, So Did 18-Year-Olds.",Vote,
We Hear You: Jordan Peterson on What Motivates the Left,Motivates,Jordan Peterson
Encounters: Max Greenfield of ‘The Neighborhood’ Takes His Daughter Out for Ice Cream,Takes,Max Greenfield
Public options key to reviving US middle class,reviving,Public
Father Details NFL's Dre Greenlaw Stopping Daughter's Potential Rape. Greenlaw's Response Is Humbling.,Rape,Greenlaw
"Everywhere Is War: The American Threat to Iran, Venezuela, and Women",War,
"Ridgecrest earthquake aftershocks move toward dangerous faults, sparking concerns of triggered temblors","Ridgecrest earthquake aftershocks move toward dangerous faults, sparking concerns of triggered temblors",
Former Trump associate accused of trying to launder stolen money through Trump company,accused,Former Trump associate
Blackstone weighs Cheniere Energy Partners stake sale: Bloomberg,weighs,Blackstone
Director Ava DuVernay: Trump contributed to 'environment' around 1994 crime bill,contributed,Director Ava DuVernay
Donald Trump Is Mad at the European Central Bank,Mad,Donald Trump
"Nevada Democrats pass bill to restore voting rights of 77,000 people",pass,Nevada Democrats
Mueller Reminds the Public: Trump Betrayed the U.S.,Betrayed,
"Photos of the Week: Snowy Ladybug, Shattered Lance, Mexican Smog",Photos of the Week,
"British Airways pilots' strike gets the go-ahead, sparking fears of chaos at Heathrow",fears,British Airways pilots
"Classmates Say Dayton Shooter Kept 'Hit List,' 'Rape List' In High School",Shooter,Classmates
"Pelosi, AOC Clash over Reach of Progressives’ Influence",Clash,Pelosi
US To Test New Missile After Termination Of Reagan-Era INF Treaty With Russia,Missile,US
"U.S. Eyes Plans to Cut Diplomatic Staff in Afghanistan, Iraq",Cut,U.S.
Hezbollah Isn’t Iran’s Favorite Proxy Anymore,Favorite Proxy,Favorite
Nike Nixes Betsy Ross Themed Shoe After Colin Kaepernick Calls the Design “Offensive” and Carries “Slavery Connotations”,Offensive,Nike Nixes Betsy Ross
The Perfect Candidate Who's Totally Ill-Suited to the Times,,
‘Surreal’ Pyongyang marathon in spotlight as tensions ease,Surreal,Pyongyang
What the French Revolution teaches us about the dangers of gerrymandering,dangers,
Fierce critic of bare feet on airplanes posts (and then deletes) topless photo to promote USA Today op-ed that calls Trump a ‘laughingstock’ [Screenshot],Fierce critic,
‘They’re doing it as we sit here’: Mueller sends a dire warning about Russian interference in U.S. elections,warning,Mueller
Austrian White Nationalist Accused of Ties to NZ Mosque Shooter Is Making Money off Youtube,Accused,Austrian White Nationalist
"Take That, Hollywood: Georgia Governor Kemp’s Popularity Surges As Fetal Heartbeat Bill Progresses",Surges,Georgia Governor
"Three Hours, No Abortion: Planned Parenthood Freaks Out at CNN Debate",Freaks Out,
Stossel: Moral Panic Over Sex Work,Moral Panic,
Trump says Russia would 'much rather' have Clinton as president,much rather,Trump
"When Christians Are Under Attack, Muslims and the Left Need to Defend Them",Attack,
"Liverpool are extraordinary up front, says Barcelona’s Ernesto Valverde",extraordinary,
SAD TROMBONE: MSNBC Slams Dems for Not Bashing ‘Lord Voldemort’ Trump Enough,Slams,MSNBC
Making Georgia’s Bad Elections Even Worse,Bad,Georgia
"Trump’s Strange, Tense Campaign Against Iran",Tense,Trump’s
House Panel Subpoenas Kellyanne Conway over ‘Egregious’ Ethics Violations,Violations,
Maine Gov. Signs Bill Allowing Non-Doctors to Perform Abortions,Abortions,Maine Gov
Last Night’s Debate Was a Throwback to a Darker Time,Throwback,Last Night’s
"The Rundown: Updates on NFIP, online sales tax collections, Medicaid and more Louisiana politics news",Updates,
New Research Shows the European Union's Anti-GMO Rules Are Ridiculously Bad,Ridiculously Bad,
"Mom Skips Her Own Graduation To Attend Her Sonand#039;s, Gets Recognized Too",Attend,Mom
"California teenager reported missing 3 months ago found alive in Mexico, mother arrested for murder",found alive in Mexico,California teenager
Man Adopts Old Dogs From Shelters No One Else Wants,Adopts,Man
Utah man dies on Everest after reaching goal of climbing each continent's tallest mountain,dies,
Progressives Want Democratic Party To Purge Remaining Pro-Lifers,Want,Progressives
Gay man who ‘came of age’ in the '70s says that today’s gender fluidity and orientation confuses — and enrages — even him,enrages,Gay man
9-Year-Old Pays School Lunch Debt for His Entire Class,Pays,9-Year-Old
Trump to claim US is environmental leader in spite of ripping up protections,claim,Trump
"Global meat-eating is on the rise, bringing surprising benefits",surprising,
"In Rwanda, We Know All About Dehumanizing Language",Dehumanizing,
5 gang members convicted in Atlanta’s ‘most brutal murder’,,
Sen. Amy Klobuchar lays out 100 actions for first 100 days if she wins White House,actions,Amy Klobuchar
I Don’t Care. I Love My Phone.,Love,
"Former MLB Pitcher Aubrey Huff to Athletes, ESPN: 'Leave Politics Out of Sports!'",'Leave Politics Out of Sports!',Aubrey Huff
These Otters Are Popular Pets in Asia. That May Be Their Undoing.,Undoing,
Every Brexit Deal Voted Down — Again,Voted Down,
Doctors Use Medical Records to Track Down Unvaccinated,Track Down Unvaccinated,Doctors
"a Contentious, Constructive Debate on the Media and Political Humiliation from the Mueller Report",Constructive,
A jury said Katy Perry’s “Dark Horse” copied another song. The $2.8 million verdict is alarming.,said,
The Post-War Temptation Towards Anger and Guns,Anger,
Water Is Life: Midwestern Floods Threaten Indigenous Communities at Forefront of Climate Crisis,Threaten,Midwestern Floods
Here's how many Americans want Democrats to impeach President Trump — it's not that many,impeach,Americans
Developing: Financial Documents Show Elijah Cummings’s Wife Used Charity to Enrich Her For Profit Company,,
Downright PATHETIC! Ben Shapiro makes a complete fool of Jeffrey Toobin for pushing THIS from Michael Cohen to own Trump,PATHETIC,Jeffrey Toobin
"Trump Yarmulkas cause a mini-outrage, reminders go out how Democrat versions were warmly embraced",mini-outrage,Trump
Kamala Harris Continues to Lie About Charlottesville 'Very Fine People' Hoax,Lie,Kamala Harris
Tulsi: A Living Reminder of Iraq’s Liars and Apologists,Iraq’s Liars and Apologists,
Valerie Jarrett: US Ready For a Female President,Ready,Ready For a Female President
Joe Biden’s Union Schtick Is All Performance. His Pollster Just Signed Up to Lobby Against Labor for Trump’s NAFTA 2.0.,Performance,Joe Biden’s Union Schtick
Sen. Steve Daines Proposes Resolution Condemning ‘Disastrous Policies’ Of Socialism,Proposes,Steve Daines
"Men Notice Elderly Woman Eating Alone, Invite Her To Join Them",Invite Her,Men
The Sinking of the M.V. Sewol and the Confusion of Disasters,Sinking,M.V. Sewol
Charts of the Day: The High Cost of Hospital Care,High Cost,
Washington State man arrested for making ‘extremely serious’ death threats against Ben Shapiro,arrested,Washington State man
Trump: 2 years of my term were ‘stollen’,stollen,Trump
DJ Khaled Played Himself With an Energy Drink Bundle Scandal,Scandal,DJ Khaled
Donald Trump Delivers Tribute to the American Farmer,Delivers,Donald Trump
"Netanyahu, Gantz, and Five Scenarios for the Israeli Election",Scenarios,
Clarence Thomas: From 'Black Panther Type' To Supreme Court's Conservative Beacon,,Clarence Thomas
Gavin Newsom Opens $50 million Donor Network to Kamala Harris,Opens,Gavin Newsom
'Violent tornado' hits Missouri's capital city after 3 killed elsewhere in state,Violent,
"What HBO’s “Chernobyl” Got Right, and What It Got Terribly Wrong",Wrong,“Chernobyl”
"Select/nonselect discussions, bass fishing trial approval highlight LHSAA meeting",approval,
Dow plunges by 700 points as China trade retaliation pummels Wall Street,plunges,
Our Views: Don't shroud Louisiana's death penalty drug providers in secrecy,,
"Indigenous Tribe Wins Legal Battle Against Oil Companies, Preventing Drilling In The Rainforest",Wins Legal Battle,Indigenous Tribe
Shelter Dog Who Loves His Bowl Gets Adopted After His Story Goes Viral,Adopted,Shelter Dog
ICE Begins Nationwide Raids on Undocumented Immigrants,Raids,ICE
Don't Let Food Nationalism Spoil Your Meal,Spoil,
Robert Mueller just pulled off a victory in plain sight and almost everyone missed it,victory,Robert Mueller
Investing in wine: the end of the Burgundy bubble,end,
CannTrust downgraded to underperform from buy at BofA Merrill Lynch,downgraded,
Climate Change Is Finally Getting the Attention It Deserved 20 Years Ago,Climate Change,
New Trump Rule Permits Anti-LGBTQ Health Care Discrimination,Permits,Trump
CNN Hit For Pro-Erdogan Bias in Turkey,Hit,CNN
Winners and Losers from the GOP Tax Cuts This Year,Winners and Losers,
F1: Mick Schumacher ‘honoured’ to be compared to his father Michael,honoured,Mick Schumacher
Uber Drivers Strike Before Owners’ Big Payday,Strike,Uber Drivers
Trump Suggests John Kerry's Meetings with Iran 'Big Violation of Logan Act',Violation,Trump
Canada may regulate social media companies to avoid election meddling,avoid election meddling,
Donald Trump is even more racist than you thought: Part II,racist,Donald Trump
Iran Undeterred as U.S. Calls for Coalition to Police Key Waterways,Undeterred,
"ILHAN OMAR SUPPORTERS Caught Threatening, Attempting “to Dox a Somali WhistleBlower” Who Revealed Ilhan’s Crimes",Threatening,ILHAN OMAR SUPPORTERS
Shocking moment two girls laugh and play hand games on top of moving SUV 'driven by their mother',Shocking,two girls
"Sanders Campaign Pays $60,000 to Embezzler’s Consulting Firm",Pays,Sanders
"‘Drag Kids’ Attract Pedophiles, Which Is No Surprise",Surprise,Kids
Remember the South: Devastating Cyclone Idai Another Example of Global South Paying for Polluters,Devastating,
"Earthquake: Magnitude 4.6 aftershock reported near Ridgecrest, Calif.",Earthquake,
London bus attack victim urges fight against all LGBT hate crimes,fight,
Acting Defense chief says he'll 'look into' reported request to move USS McCain out of Trump's sight,look,
"Former Head Of Security Of Festival Where Mass Shooting Happened, Speaks Out",Speaks Out,Former Head Of Security Of Festival
Jay Inslee has a radical plan to phase out fossil fuel production in the US,radical,Jay Inslee
Dow books fourth straight weekly slide -- longest weekly skid since 2016,slide,Dow
"Violent Storm Batters Italian Beach, Sends Sunbathers Running",Violent,
Victory Does Not Depend on Swing Voters,Depend,
The Rise and Rise of the Turkish Right,Turkish Right,
U.S. Rep. Ocasio-Cortez ‘encouraged’ despite Senate rejecting ‘Green New Deal’,‘encouraged’,Ocasio-Cortez
[non-NRSRO] SoftBank Corp. A mobile telephone terminal Credit Trust Series 2019-3 -- Moody’s assigns definitive rating to SB’s handset receivables ABS (Japanese),,SoftBank Corp
Senate Republicans feel ‘urgency’ to do something about health care — again,urgency,Senate Republicans
Syria rejects Arab summit statement on Iran intervention,rejects,Syria
Game of Thrones: Attack of the Killer Zombies!!,Game of Thrones: Attack of the Killer Zombies,
Palestinian forces arrest participant in US Mideast workshop,arrest,Palestinian
White House says Trump spoke to Libyan commander Haftar on Monday,spoke,Trump
"Nasdaq reverses direction to drop a point to 7,652",reverses,Nasdaq
Kashmir: Pakistan PM Imran Khan on the need for dialogue,dialogue,
U.S. Commander: Al Qaeda Operating ‘Across’ Afghanistan,Operating,U.S. Commander
"Doctor Fined $100,000 for ‘Anti-Vax’ Social Media Posts",Fined,Doctor
"Mueller found no Trump collusion with Russia, not enough evidence for obstruction: Barr",found,Mueller
The El Paso and Dayton shootings weren’t an aberration. They were a statistical certainty.,aberration,
Ocasio-Cortez: Booker doesn't owe Biden apology over remark about segregationists,doesn't owe,Ocasio-Cortez
HHS Moves to Protect Religious Health Providers,Protect,HHS
U.S. Quietly Waters Down Another Communique on Gender Equality,Quietly Waters Down,U.S.
NASA Confirms Earth Is Greener Today Than 20 Years Ago,Greener,NASA
UN tells Italy proposed decree violates migrants' rights,proposed,UN
Chicago Just Elected Its First Black Woman Mayor,Elected,Chicago
"House Democrat admits 'sole focus' is unseating President Trump, not legislative accomplishments",unseating,House Democrat
Focus-Group-Testing Takeaways for the Next Social-Media Platform,Testing,
"Today’s Brexit Vote: Everybody Hates Everything, But Maybe There’s Light at the End of the Tunnel",Hates,
Homeland Security shuttered a domestic terror intelligence unit despite rising threats,shuttered,Homeland Security
"Earthquake: 4.5 quake near Ridgecrest, Calif.",Earthquake,
"Nigeria’s small businesses want government help, but corruption is draining it away",corruption,Nigeria’s small businesses
"The Best Movies and TV Shows Coming to Netflix, HBO, Amazon Prime, and Hulu in August",The Best,
UPS stock price target cut to $145 from $155 at CFRA,cut,UPS
New York Lawmakers Advance Bill to Provide Congress With Trump’s Tax Returns,Advance,New York Lawmakers
Europe is beating the US in the battery race—with China’s help,beating,Europe
Previously Unreleased Poll Shows Alabama Voters Disapprove of Extreme Abortion Ban,Disapprove,Alabama Voters
Today’s front pages: ‘Lyra’s Legacy’ and IndyRef2,front,
We’re Having the Wrong Debate About a $15 Minimum Wage,Debate,
Dan Crenshaw slams Chuck Schumer for ‘immature and deeply cynical’ reaction to the deal with Mexico,slams,Dan Crenshaw
The Hills Have Eyes: Nü Beginnings,Eyes,
Harris joins Warren: Let’s impeach Trump rather than run against him,impeach,Harris
Detective who preached gay people are 'worthy of death' having cases reviewed for bias,gay people are 'worthy of death',
New Orleans congressman calls Steve King a ‘white supremacist’ after Katrina comments,‘white supremacist’,New Orleans congressman
Police union rips Buttigieg: using shooting to score campaign points,rips,Police union
2020 Dems defend Rep. Omar from Trump amid controversy over 9/11 remarks,defend,Trump
Trump Celebrates Earth Day With a Proclamation About How Capitalism Is Good,Celebrates,Trump
What to expect at the second Democratic presidential debate,expect,
Trump Offers Netanyahu Part of Syria to Boost Israeli Leader’s Flagging Re-Election Campaign,Boost,Trump
"Watch MSC Opera Cruise Ship Crash Into Dock And Smaller Boat In Venice, Italy",Crash,
Clashes break out at Jerusalem holy site,Clashes,
Here’s What’s New on (and Leaving) Netflix in May 2019,New,
Japan Goes Back To Hunting Whales For First Time In 31 Years,Hunting,
Syrian ‘Refugee’ Breaks Female 7th Grade Teacher’s Jaw as She Searches Him for Knife,Breaks,Syrian ‘Refugee’
'The Git Up' Is the Next Viral Country Rap Song,Next,
The Controversy Over “Old Town Road” Reveals Problems Beyond Just Race,Problems,
"People Are Still Getting Married, and This Book Is Here to Help",to Help,People
"For Deeper Insights, Japanese Space Mission Bombed an Asteroid to Make a Crater",Bombed,
Mission Creep: How the NSA’s Game-Changing Targeting System Built for Iraq and Afghanistan Ended Up on the Mexico Border,Creep,
Schiff under siege: Republicans cite Intelligence Committee’s ‘vendetta’ against Trump,vendetta,Schiff
Jerry Nadler Was Born to Battle Trump,Battle,Jerry Nadler
Lori Loughlin's Daughter Under Criminal Investigation for Admissions Scandal,Scandal,Lori Loughlin's Daughter
Party Organisers Describe the Weirdest Ways They've Seen People Smuggle in Drugs,Smuggle,Party Organisers
The Latest: Reports: Rocket attack hits Baghdad's Green Zone,attack,Rocket attack
Trudeau Apologizes For Mocking First Nations Protest: ‘Thank You For Your Donation’,Apologizes,Trudeau
It’s time to change the way the world thinks about drug reform,change,
Everyone’s Obsessed With the Hilarious Family in This Elaborate Funeral for a Pet Lizard,Obsessed,
The SPD Must Change Course or Die,Change,The SPD
Beto O’Rourke addressing how much wealth might be TOO much could make the next family gathering ‘a little awkward’,,Beto O’Rourke
Enough with the Batman Movies Already,Enough,
Audit: Google favors a small number of left-leaning news outlets,favors,Google
Recovered GoPro Footage Reveals the Last Minutes of Himalayan Climbers' Lives,Last Minutes,
She Defended Her Land Against a Mine in Guatemala. Then She Fled in Fear for Her Life.,Defended,She
'Plenty Of Cards To Play': Chinese Media Suggest Cutting Rare Earth Exports To U.S.,Cutting,
Nolte: Massive Viewership Collapse Drops CNN Prime Time to 15th Place,Collapse,Nolte
"On the Border, Volunteer Doctors Struggle to Provide Stopgap Care to Immigrants",Struggle,
Harvard Study Finds Trigger Warnings Do More Harm Than Good,Good,Harvard
"Using Proxies, Iran Appears to Be Hitting Back in the Fight Over Oil",Hitting,Iran
A Generation Is Learning How to Strike,Generation,
Some Amazon warehouse workers in Chicago say the company cheated them of overtime hours,cheated,workers
"Team Obama Tells Iran: Don’t Escalate, Don’t Take Trump’s Bait",Tells,Team Obama
The shameful truth: America only put a man on the moon with the help of Nazi monsters,shameful,America
Five things you didn’t know about Elton John,didn’t know,
"John Tanton, quiet architect of America's modern-day anti-immigrant movement, dies at 85",dies,John Tanton
Israeli soldiers routinely detain Palestinian children for throwing rocks,detain,Israeli soldiers
Supreme Court deals blow to census citizenship question,blow,Supreme Court
Rep. Rashida Tlaib grasps at 'concentration camps' moment as ABC's Raddatz crushes her over border funding vote,crushes,Rep. Rashida Tlaib
Hot take alert! David Hogg counters Mike Pence’s pro-#2A tweet with a reminder about what Jesus didn’t own,counters,Mike Pence
Here’s What’s New on Amazon Prime Video in August 2019,New,
Pompeo warns Israel: Get too close to China and intel cooperation will suffer,,Pompeo
Elizabeth Warren schools Mitch McConnell on the Constitution by reading directly from Mueller report on the Senate floor,schools,Elizabeth Warren
Christchurch shooter 'told police he had a bomb' moments before his arrest,,Christchurch shooter
"Iran Says US Cyber Attacks Failed, Hints at Possible Talks",Attacks,Iran
Lion Scalps 4-Year-Old Girl After She Gets Too Close To Fence On Big Cat Farm,Too Close,4-Year-Old Girl
Wayfair workers walk out to protest furniture sale to migrant detention center,protest,Wayfair workers
All 67 miles of Backbone Trail are open 8 months after Woolsey fire,Backbone Trail,
Teenagers are better behaved and less hedonistic nowadays,behaved,Teenagers
This Republican lawmaker actually just called out Trump’s racism,racism,
Federal Judge Dismisses Charges Against 3 White Supremacists,Dismisses,Federal Judge
"For Asian Americans, coming out in 2019 can still present unique challenges",challenges,Asian Americans
Trump’s Plan to Kill Obamacare Rattles Republicans,Kill,Trump’s
"Child Calls 911, Asks Officer To Be His Friend Because Heand#039;s Lonely",Lonely,Child
The best new restaurants in D.C.,best,
Vladimir Putin Calls For Defending Internet Free Speech,Defending,Vladimir Putin
Sunday shows - Immigration raids dominate,raids,
Red Cross to begin aid to Venezuela by mid-April,begin aid,
Secretive Harry is blasted for 'acting like an A-lister' over cloak-and-dagger christening,blasted,Secretive Harry
Europe broils in record heat as U.K. has hottest July day ever,broils,Europe
Sally Yates: Trump would be indicted on obstruction of justice if he were not president,indicted,Trump
3rd Mexican Journalist Murdered In 1 Week — 10th in 2019,Murdered,
Greek PM says may seek sanctions against Turkey in gas row,sanctions,Greek PM
"After a False Accusation, Family Forced Apart for 7 Months",Accusation,
Walmart's Kickstarting a $1 Trillion Driverless Delivery Market,Driverless,Walmart's
New Saudi Law Allows Women To Travel Without Male Consent,Allows,New Saudi Law
Man Lands Job After Officer Gives Him Ride To Interview Instead Of Ticket,Lands Job,Man
Networks Ignore Rashida Tlaib’s Latest Anti-Semitic Comments about the Jewish People,Ignore,Rashida Tlaib’s
The IRS is about to limit those SALT caps,limit,IRS
Climber Dies On Everest As Death Toll In Himalayas Reaches 18,Dies,Climber
Trump campaign running ads on Facebook based on Mueller report,,
"Warren, Sanders Call to Impeach After Trump Welcomes Dirt From Foreign Powers",Impeach,"Warren, Sanders"
The U.S. soccer team is just one part of a larger wave of female activism,female activism,The U.S. soccer
Toddler miraculously survives fall down steep embankment in Arkansas,survives,Toddler miraculously
Boris Johnson faces questions of character,,
Airbus unveils new 'bird of prey' plane,unveils,Airbus
Missouri Could Become the First State Without an Abortion Clinic,Could Become,
‘Holy hell’: The twisted tale of Jessica Yaniv ‘gets worse than you could ever imagine’,Holy hell,Jessica Yaniv
Oprah Always Travels With Avocados Grown From Her Own Orchard Because ‘It’s Ridiculous to Pay for Avocados’,It’s Ridiculous,Oprah
Activist Ady Barkan’s Illness Took His Ability to Speak — But He’s Still Testifying at Congress to Pass Medicare for All,Took,
"Evicted man, 53, jailed on $4,000 bond and charged with animal cruelty for leaving pet FISH behind",cruelty,man
‘This is MAGA Country!’: Smollett-Style Graffiti Found at Jewish Cemetery,Smollett,
Republican congressman suggests GOP spent 8 years saving their health care plan for 2019,suggests,Republican congressman
Detention centres 'will shock the conscience of this country',shock,Detention centres
Health Care CEO Slams Medicare for All,Slams,
MSNBC’s Ruhle: GOP Opposes Harris Because She’s ‘Too Black’,Opposes,MSNBC’s Ruhle
"Economic Democracy, If We Can Keep It",Keep,
Hunt for tradie who leaned out the window of a moving ute and tried to slap a cyclist on the head,slap,tradie
"United Extends Boeing 737 Max Grounding, Canceling Thousands Of Flights",Canceling,
The Terrible Thing That Trump and Elijah Cummings Agree On,Terrible,Trump
Boston Dynamics To Start Selling Creepy Robot Dogs,Selling,Boston Dynamics
US Says Venezuelan Plane Aggressively Shadowed a US Military Aircraft,Aggressively,US
